"Note: All values in the input file are text strings.  The ""Type"" column below indicates the internal type the string is converted to.  Integer fields must be whole numbers.  Values outside the listed Min/Max range are rejected with an error.",,,,,,,
Exposed Variable Name,Type,Min,Max,Default,Units,Notes,Interpretation
ESoilConcentration,Float,0,,0,ug/g soil,,Soil concentration input for the soil exposure pathway. Used to estimate plant uptake from soil. Only used when SoilEnabled=true
ESeedAppRate,Float,0,,0,mg ai/seed,,"Application rate of seed treatment active ingredient, in mg a.i./seed. During the seed forage window, incoming pollen residue is set to AppRate x 18 ng a.i./g and incoming nectar residue to AppRate x 45 ng a.i./g."
FoliarAppDate,Date,1/1/100,12/31/9999,,,Date String - MM/DD/YYYY,Foliar application date. 
FoliarForageBegin,Date,1/1/100,12/31/9999,,,Date String - MM/DD/YYYY,Start date of the foliar foraging exposure window.
FoliarForageEnd,Date,1/1/100,12/31/9999,,,Date String - MM/DD/YYYY,End date of the foliar foraging exposure window.
SoilForageBegin,Date,1/1/100,12/31/9999,,,Date String - MM/DD/YYYY,Start date of the soil foraging exposure window.
SoilForageEnd,Date,1/1/100,12/31/9999,,,Date String - MM/DD/YYYY,End date of the soil foraging exposure window.
SeedForageBegin,Date,1/1/100,12/31/9999,,,Date String - MM/DD/YYYY,Start date of the seed-treatment foraging exposure window.
SeedForageEnd,Date,1/1/100,12/31/9999,,,Date String - MM/DD/YYYY,End date of the seed-treatment foraging exposure window.
NecPolFileEnable,Boolean,N/A,N/A,FALSE,,"true, false","If true, enables the Nectar/Pollen Contamination file for direct specification of daily residue levels in pollen and nectar."
NecPolFileName,String,N/A,N/A,,,Absolute file path,Name of the Nectar/Pollen Contamination file
InitColNectar,Float,0,,20000,grams,,Mass (grams) of colony nectar resources at start of simulation
InitColPollen,Float,0,,10000,grams,,Mass (grams) of colony pollen resources at start of simulation
MaxColNectar,Float,0,,100000,grams,,Maximum mass (grams) of nectar resources contained in colony during simulation
MaxColPollen,Float,0,,60000,grams,,Maximum mass (grams) of pollen resources contained in colony during simulation
SupPollenEnable,Boolean,N/A,N/A,FALSE,,"true, false","If true, enables supplemental pollen feeding"
SupPollenAmount,Float,0,,0,grams,,Amount (grams) of pollen supplemental feed
SupPollenBegin,Date,1/1/100,12/31/9999,,,Date String - MM/DD/YYYY,Start date of pollen supplemental feeding
SupPollenEnd,Date,1/1/100,12/31/9999,,,Date String - MM/DD/YYYY,End date of pollen suppemental feeding
SupNectarEnable,Boolean,N/A,N/A,FALSE,,"true, false","If true, enables supplemental nectar feeding"
SupNectarAmount,Float,0,,0,grams,,Amount (grams) of nectar supplemental feed
SupNectarBegin,Date,1/1/100,12/31/9999,,,Date String - MM/DD/YYYY,Start date of nectar supplemental feeding
SupNectarEnd,Date,1/1/100,12/31/9999,,,Date String - MM/DD/YYYY,End date of nectar suppemental feeding
ForagerMaxProp,Float,0,1,0.3,proportion,,Max proportion of total adult worker population that can be active foragers
NeedResourcesToLive,Boolean,N/A,N/A,FALSE,,"true, false","If true, colony dies when pollen or nectar mass reaches 0"
Latitude,Float,-90,90,,decimal degrees,,Latitude in decimal degrees for calculating day length. Day length beyond +/-65 degrees is calculated as at +/-65 degrees.
EtoLXitionEn,Boolean,N/A,N/A,FALSE,,"true, false",Enable Eggs to Larvae transition survival rate variable?
LtoBXitionEn,Boolean,N/A,N/A,FALSE,,"true, false",Enable Larave to Pupae transition survival rate variable?
BtoAXitionEn,Boolean,N/A,N/A,FALSE,,"true, false",Enable Pupae to Adult transition survival rate variable?
AtoFXitionEn,Boolean,N/A,N/A,FALSE,,"true, false",Enable Adult to Forager transition survival rate variable?
EtoLXition,String,N/A,N/A,,,"In the format StartDate, EndDate, float. Date string must be MM/DD/YYYY.","Sets the survival rate (%) for the Eggs to Larvae Transition for the period between StartDate and EndDate. Example: ""07/05/2016, 04/13/2017, 75.0"""
LtoBXition,String,N/A,N/A,,,"In the format StartDate, EndDate, float. Date string must be MM/DD/YYYY.","Sets the survival rate (%) for the Larvae to Pupae Transition for the period between StartDate and EndDate. Example: ""07/05/2016, 04/13/2017, 75.0"""
BtoAXition,String,N/A,N/A,,,"In the format StartDate, EndDate, float. Date string must be MM/DD/YYYY.","Sets the survival rate (%) for the Pupae to AdultTransition for the period between StartDate and EndDate. Example: ""07/05/2016, 04/13/2017, 75.0"""
AtoFXition,String,N/A,N/A,,,"In the format StartDate, EndDate, float. Date string must be MM/DD/YYYY.","Sets the survival rate (%) for the Adult to Forager Transition for the period between StartDate and EndDate. Example: ""07/05/2016, 04/13/2017, 75.0"""
