"Note: All values in the input file are text strings.  The ""Type"" column below indicates the internal type the string is converted to using standard C++ conversion rules.  Ex: 2.677 in an integer field is converted to 2.",,,,,,
Exposed Variable Name,Internal Associated Variable,Type,Min,Max,Description,Interpretation
AIAdultLD50Contact,,Float,0,100,,"Contact median lethal dose for Adults,in ug/bee"
AILarvaSlope,,Float,1,9,,
AILarvaLD50,,Float,0,100,,"Oral median lethal dose for Larvae,in ug/bee"
AIKOW,,Float,0.1,1000000,,
AIKOC,,Float,1,10000,,
AIHalfLife,,Float,0.1,35,,
AIContactFactor,,Float,,,Min/Max value only constrained by data type,
CL4Pollen,,Float,0,,Max value only constrained by data type,Daily Pollen Consumption by age 4 Larvae (mg/day)
CL4Nectar,,Float,0,,Max value only constrained by data type,Daily Nectar Consumption by age 4 Larvae (mg/day)
CL5Pollen,,Float,0,,Max value only constrained by data type,Daily Pollen Consumption by age 5 Larvae (mg/day)
CL5Nectar,,Float,0,,Max value only constrained by data type,Daily Nectar Consumption by age 5 Larvae (mg/day)
CLDPollen,,Float,0,,Max value only constrained by data type,Daily Pollen Consumption by Drone Larvae (mg/day)
CLDNectar,,Float,0,,Max value only constrained by data type,Daily Nectar Consumption by Drone Larvae (mg/day)
CA13Pollen,,Float,0,,Max value only constrained by data type,Daily Pollen Consumption by age 1-3 Adult Workers (mg/day)
CA13Nectar,,Float,0,,Max value only constrained by data type,Daily Nectar Consumption by age 1-3 Adult Workers (mg/day)
CA410Pollen,,Float,0,,Max value only constrained by data type,Daily Pollen Consumption by age 4-10 Adult Workers (mg/day)
CA410Nectar,,Float,0,,Max value only constrained by data type,Daily Nectar Consumption by age 4-10 Adult Workers (mg/day)
CA1120Pollen,,Float,0,,Max value only constrained by data type,Daily Pollen Consumption by age 11-20 Adult Workers (mg/day)
CA1120Nectar,,Float,0,,Max value only constrained by data type,Daily Nectar Consumption by age 11-20 Adult Workers (mg/day)
CADPollen,,Float,0,,Max value only constrained by data type,Daily Pollen Consumption by Drone Adults (mg/day)
CADNectar,,Float,0,,Max value only constrained by data type,Daily Nectar Consumption by Drone Adults (mg/day)
CForagerPollen,,Float,0,,Max value only constrained by data type,Daily Pollen Consumption by Foragers (mg/day)
CForagerNectar,,Float,0,,Max value only constrained by data type,Daily Nectar Consumption by Foragers (mg/day)
IPollenTrips,,Integer,0,,Max value only constrained by data type,Daily Pollen trips per Forager
INectarTrips,,Integer,0,,Max value only constrained by data type,Daily Nectar trips per Forager
IPercentNectarForagers,,Float,0,100,,Percent of all Foragers collecting Nectar
IPollenLoad,,Float,0,,Max value only constrained by data type,mg Pollen per forage trip per bee
INectarLoad,,Float,0,,Max value only constrained by data type,mg Nectar per forager trip per bee
FoliarEnabled,,Boolean,N/A,N/A,"true, false","If true, enables foliar spray contamination mechanism"
SoilEnabled,,Boolean,N/A,N/A,"true, false","If true, enables soil contamination mechanism"
SeedEnabled,,Boolean,N/A,N/A,"true, false","If true, enables seed contamination mechanism"
EAppRate,,Float,0,,Max value only constrained by data type,
ESoilTheta,,Float,0,,Max value only constrained by data type,
ESoilP,,Float,1.4,1.8,,
ESoilFoc,,Float,0.1,0.5,,
ESoilConcentration,,Float,0,,Max value only constrained by data type,
ESeedConcentration,,Float,0,,Max value only constrained by data type,
FoliarAppDate,,Date,1/1/100,12/31/9999,Commonly used date strings.,Foliar application date.
FoliarForageBegin,,Date,1/1/100,12/31/9999,Commonly used date strings.,
FoliarForageEnd,,Date,1/1/100,12/31/9999,Commonly used date strings.,
SoilForageBegin,,Date,1/1/100,12/31/9999,Commonly used date strings.,
SoilForageEnd,,Date,1/1/100,12/31/9999,Commonly used date strings.,
SeedForageBegin,,Date,1/1/100,12/31/9999,Commonly used date strings.,
SeedForageEnd,,Date,1/1/100,12/31/9999,Commonly used date strings.,
NecPolFileEnable,,Boolean,N/A,N/A,"true, false","If true, enables the Nectar/Pollen Contamination file."
NecPolFileName,,String,N/A,N/A,Absolute file path,Name of the Nectar/Pollen Contamination file
InitColNectar,,Float,0,,Max value only constrained by data type,Mass (grams) of colony Nectar resources at start of simulation
InitColPollen,,Float,0,,Max value only constrained by data type,Mass (grams) of colony Pollen resources at start of simulation
MaxColNectar,,Float,0,,Max value only constrained by data type,Maximum mass (grams) of Nectar resources contained in colony during simulation
MaxColPollen,,Float,0,,Max value only constrained by data type,Maximum mass (grams) of Pollen resources contained in colony during simulation
SupPollenEnable,,Boolean,N/A,N/A,"true, false","If true, enables supplemental pollen feeding"
SupPollenAmount,,Float,0,,Max value only constrained by data type,Amount (grams) of pollen supplemental feed
SupPollenBegin,,Date,1/1/100,12/31/9999,Commonly used date strings.,Start date of pollen supplemental feeding
SupPollenEnd,,Date,1/1/100,12/31/9999,Commonly used date strings.,End date of pollen suppemental feeding
SupNectarEnable,,Boolean,N/A,N/A,"true, false","If true, enables supplemental nectar feeding"
SupNectarAmount,,Float,0,,Max value only constrained by data type,Amount (grams) of nectar supplemental feed
SupNectarBegin,,Date,1/1/100,12/31/9999,Commonly used date strings.,Start date of nectar supplemental feeding
SupNectarEnd,,Date,1/1/100,12/31/9999,Commonly used date strings.,End date of nectar suppemental feeding
ForagerMaxProp,,Float,0,1,,Max proportion of total adult worker population that can be active foragers
NeedResourcesToLive,,Boolean,N/A,N/A,"true, false","If true, colony dies when pollen or nectar mass reaches 0"
Latitude,,Float,-65,65,,Latitude in decimal degrees for calculating day length
EtoLXitionEn,,Boolean,N/A,N/A,"true, false",Enable Eggs to Larvae transition survival rate variable?
LtoBXitionEn,,Boolean,N/A,N/A,"true, false",Enable Larave to Pupae transition survival rate variable?
BtoAXitionEn,,Boolean,N/A,N/A,"true, false",Enable Pupae to Adult transition survival rate variable?
AtoFXitionEn,,Boolean,N/A,N/A,"true, false",Enable Adult to Forager transition survival rate variable?
EtoLXition,,String,N/A,N/A,"In the format StartDate, EndDate, float","Sets the survival rate for the Eggs to Larvae Transition for the period between StartDate and EndDate. Example: ""07/05/2016, 04/13/2017, 75.0"""
LtoBXition,,String,N/A,N/A,"In the format StartDate, EndDate, float","Sets the survival rate for the Larvae to Pupae Transition for the period between StartDate and EndDate. Example: ""07/05/2016, 04/13/2017, 75.0"""
BtoAXition,,String,N/A,N/A,"In the format StartDate, EndDate, float","Sets the survival rate for the Pupae to AdultTransition for the period between StartDate and EndDate. Example: ""07/05/2016, 04/13/2017, 75.0"""
AtoFXition,,String,N/A,N/A,"In the format StartDate, EndDate, float","Sets the survival rate for the Adult to Forager Transition for the period between StartDate and EndDate. Example: ""07/05/2016, 04/13/2017, 75.0"""
